code;gen1;gen2;gen3;gen4;gen5;gen6;gen7;gen8;gen9;gen10;gen11;gen12;gen13;gen14;gen15;gen16;gen17;gen18;gen19;gen20;gen21;gen22;gen23;gen24;gen25;gen26;gen27;altitude;pluvio_yr;forest;pluvio_1;pluvio_2;pluvio_3;pluvio_4;pluvio_5;pluvio_6;pluvio_7;pluvio_8;pluvio_9;pluvio_10;pluvio_11;pluvio_12;geology;evi_1;evi_2;evi_3;evi_4;evi_5;evi_6;evi_7;evi_8;evi_9;evi_10;evi_11;evi_12;evi_13;evi_14;evi_15;evi_16;evi_17;evi_18;evi_19;evi_20;evi_21;evi_22;evi_23;lon;lat;surface
1299;0;0;0;0;0;2;0;55;2;11;16;5;9;0;0;1;0;0;21;2;5;0;0;13;32;1;0;398.622039794922;1455;2;73.6666641235352;74.5;133.83332824707;139.33332824707;120.5;110.333335876465;105.666664123535;105.833335876465;155.16667175293;169.83332824707;150;92.1666641235352;3;0.391087114810944;0.411265671253204;0.43656063079834;0.463584780693054;0.491132706403732;0.553887844085693;0.543894350528717;0.55086487531662;0.543103933334351;0.52029287815094;0.508637070655823;0.467231631278992;0.485167384147644;0.478850513696671;0.503938972949982;0.520519316196442;0.557684063911438;0.498908191919327;0.506745398044586;0.489985764026642;0.489788681268692;0.489938884973526;0.384009808301926;16.0056502101696;1.50141594920122;5
2644;9;0;3;0;2;2;1;14;1;20;29;5;10;3;0;7;0;0;0;0;5;0;7;5;19;0;2;400.457641601562;1461;7;50.6666679382324;72.8333358764648;118.5;125;132.5;112.833335876465;134.16667175293;136.66667175293;157;175;99.8333358764648;58.3333320617676;6;0.337896585464478;0.381662338972092;0.389926761388779;0.446248561143875;0.493188709020615;0.500892043113708;0.507374286651611;0.523753225803375;0.515115261077881;0.497806578874588;0.480799049139023;0.433536648750305;0.461047857999802;0.441029608249664;0.458465814590454;0.4493008852005;0.463382065296173;0.455308794975281;0.460386544466019;0.453353196382523;0.437796592712402;0.43949168920517;0.343510806560516;17.0176638106574;2.62587550529876;15
1838;9;0;0;0;1;0;3;0;4;63;30;20;13;3;7;0;0;0;0;4;5;0;0;1;3;21;7;362.229370117188;1447;5;72.0070190429688;77.6052551269531;147.545608520508;144.017547607422;133.798248291016;104.957901000977;110.32982635498;104.836845397949;151.857879638672;158.308776855469;144.184219360352;86.1842041015625;6;0.361080527305603;0.375120908021927;0.424158662557602;0.46103772521019;0.487294316291809;0.504689872264862;0.50706547498703;0.510110855102539;0.511315047740936;0.50015264749527;0.454019576311111;0.436607182025909;0.44024583697319;0.443794816732407;0.467316001653671;0.472945123910904;0.513755142688751;0.49763548374176;0.479528605937958;0.498268216848373;0.477357685565948;0.448227107524872;0.39815029501915;16.4554340326087;1.42645197879472;17.5
534;0;4;0;0;9;1;11;19;0;5;24;38;17;0;0;0;14;1;108;3;6;0;6;14;34;87;30;600.887634277344;1401.22216796875;1;22.5343647003174;61.7834854125977;118.256034851074;138.080810546875;154.522399902344;149.637466430664;154.465637207031;151.38835144043;169.922714233398;171.988037109375;83.4226989746094;24.5842113494873;5;0.388948917388916;0.408894836902618;0.433823198080063;0.489995449781418;0.488012820482254;0.528381645679474;0.555078625679016;0.545524597167969;0.55363130569458;0.526912808418274;0.533833563327789;0.516719162464142;0.519764602184296;0.507335066795349;0.481137454509735;0.513506829738617;0.492184817790985;0.515405118465424;0.474853187799454;0.509785056114197;0.446307748556137;0.437621384859085;0.401296317577362;15.2934924913079;3.86278101700606;20.5
3213;1;1;0;0;0;0;4;5;1;5;15;23;4;6;0;5;4;0;7;2;0;0;3;7;5;18;8;375.827911376953;1403.33337402344;1;50.894458770752;77.6038284301758;106.052017211914;123.153755187988;113.636512756348;127.284393310547;133.544296264648;147.499435424805;150.261138916016;164.740386962891;102.782279968262;43.3062477111816;6;0.352801710367203;0.393992245197296;0.390900045633316;0.473861843347549;0.488171368837357;0.478372693061829;0.541531443595886;0.556344449520111;0.532309055328369;0.528636395931244;0.492369145154953;0.472948402166367;0.477233678102493;0.441865175962448;0.502146303653717;0.513436257839203;0.513906002044678;0.501724421977997;0.498798072338104;0.48922273516655;0.451065063476562;0.417404890060425;0.379861503839493;17.542411603503;2.77580344611177;10.5
1861;19;3;1;11;0;1;0;33;4;13;63;2;76;14;3;36;0;0;3;0;11;2;18;48;130;1;0;611.928649902344;1540.33337402344;7;27.2052745819092;47.3074798583984;138.456359863281;136.54216003418;146.054412841797;155.262893676758;154.467498779297;183.227401733398;181.429336547852;223.466156005859;91.8420867919922;28.2040882110596;3;0.350994259119034;0.366048097610474;0.405155777931213;0.446710258722305;0.480343997478485;0.506208896636963;0.486187547445297;0.526859164237976;0.480022549629211;0.469458192586899;0.48429000377655;0.473183393478394;0.48180291056633;0.443887770175934;0.431737899780273;0.468076676130295;0.536279320716858;0.494964689016342;0.41270911693573;0.434113562107086;0.40978991985321;0.378438025712967;0.36134797334671;16.4554340326087;3.63788910578655;20
3445;1;4;0;0;2;0;0;12;0;11;10;3;2;0;0;2;2;0;37;0;1;1;3;16;8;9;20;451.006530761719;1440.11108398438;1;45.1143836975098;61.3866958618164;104.526000976562;122.570434570312;110.192558288574;166.632873535156;160.996124267578;161.588806152344;154.448867797852;163.53173828125;101.300582885742;32.4105186462402;3;0.378117948770523;0.390283405780792;0.383989721536636;0.431417882442474;0.455297738313675;0.500459611415863;0.509157478809357;0.542037487030029;0.497639149427414;0.544842541217804;0.48198401927948;0.466079205274582;0.485769093036652;0.477920800447464;0.516683101654053;0.518524467945099;0.529926300048828;0.53932911157608;0.51289564371109;0.491652369499207;0.448253631591797;0.44880223274231;0.385724991559982;17.8797494703322;3.45047917977029;5
865;4;0;0;0;0;1;0;1;0;38;9;0;6;9;0;0;1;0;0;2;3;0;0;0;0;0;0;381.187377929688;1401.62963867188;2;84.9194412231445;99.105110168457;129.714828491211;141.161178588867;120.187591552734;85.2760772705078;62.0166053771973;77.6795349121094;137.305816650391;185.89518737793;170.581649780273;87.846549987793;3;0.386794179677963;0.423471301794052;0.424817264080048;0.468547374010086;0.475233405828476;0.501513481140137;0.521753013134003;0.538736522197723;0.512082159519196;0.521321415901184;0.495706647634506;0.456610292196274;0.455507814884186;0.467536062002182;0.454795211553574;0.51857453584671;0.5527024269104;0.553706288337708;0.511166989803314;0.484579861164093;0.5105220079422;0.50318169593811;0.385275363922119;15.6308303581371;0.639330289526442;5
3644;3;0;2;0;0;1;1;2;1;17;17;11;12;1;1;1;4;0;8;2;3;0;2;5;6;13;1;387.129669189453;1465;1;42.2084007263184;62.1832542419434;131.61637878418;132.550018310547;109.312599182129;150.058578491211;146.325042724609;146.904357910156;155.466552734375;158.204254150391;101.108345031738;42.5248832702637;2;0.343353301286697;0.367041856050491;0.422458738088608;0.450413048267365;0.475649356842041;0.478804409503937;0.498906403779984;0.534026086330414;0.494160085916519;0.514468014240265;0.471585392951965;0.444624483585358;0.488738238811493;0.458280265331268;0.51014107465744;0.541891396045685;0.490416318178177;0.519223213195801;0.469487190246582;0.478065550327301;0.471183657646179;0.462033867835999;0.378302842378616;18.4044972631777;3.33803322416054;6
561;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;472.018920898438;1442;2;90.5684127807617;98.0049667358398;125.383087158203;150.875625610352;130.401733398438;93.8830871582031;53.8830833435059;60.8519897460938;144.148010253906;207.59700012207;170.283569335938;98.6156692504883;3;0.39576917886734;0.439495086669922;0.465182244777679;0.500780165195465;0.492116391658783;0.52068966627121;0.54226952791214;0.55189061164856;0.526212811470032;0.533396005630493;0.533287167549133;0.475553601980209;0.492571115493774;0.519256830215454;0.510531544685364;0.541914761066437;0.588610649108887;0.57182639837265;0.516708076000214;0.51720118522644;0.496141910552979;0.485927790403366;0.426143854856491;15.3684564617144;0.564366319119939;5.5
